Engine_rpm,suctionPressure,dischargePressure,flowRate,motorTemp,vibration,Engine_Condition
743,2.983044788,11.83076865,78.174600,85.1805141,10.723062,1
744,2.740729188,4.94498558,81.021234,90.16332367,11.250577,1
809,4.050245312,7.78544217,88.017235,75.28388704,9.744286,1
902,4.2009472,14.52838261,119.204849,78.11653602,1.979370,0
555,2.756869289,2.941944677,70.685060,83.43602753,10.766542,1
706,3.322614307,6.614217267,83.324898,69.85725173,8.901877,1
634,4.144613565,8.879249763,79.153601,80.93710058,13.084181,1
665,3.02079774,7.931052314,75.614025,76.39563489,8.573822,1
913,2.577537492,5.168560934,126.621675,86.05565543,2.215670,0
1212,1.723152316,5.266437194,146.622262,82.46203326,2.151117,0
1300,2.219350167,8.433284367,146.371396,74.47340728,2.422724,0
621,3.251042298,5.331135919,99.493050,71.33767298,1.869816,0
808,3.077382494,3.582213352,82.586637,74.73223423,11.069174,1
1258,3.265262704,11.24739915,118.529323,71.70502051,9.554021,1
1267,4.119742571,8.25954341,150.095066,76.78191794,2.048175,0
868,2.525345854,4.285353424,87.320851,82.91035392,9.890133,1
1024,2.194610985,4.866378095,136.146286,83.93495969,2.258273,0
1036,2.161426496,6.125224415,131.787334,77.31864397,1.883211,0
656,4.151633853,6.293228799,76.143852,68.31764688,14.717352,1
823,2.377631328,2.604273235,83.981955,76.89877273,11.163728,1
524,1.441211642,6.817949603,87.801839,73.97899838,1.504218,0
699,2.106315488,2.486776497,101.557312,90.5700987,1.595092,0
981,3.23583633,7.45469799,100.851262,80.96278367,13.551257,1
833,3.758835012,6.281994196,117.042183,70.93811193,2.099143,0
919,2.726379052,14.715238,96.908008,87.73000415,15.401546,1
801,3.707930935,8.233513626,85.480757,81.36110316,15.759435,1
696,4.103562666,6.618358058,79.418240,67.57587529,8.171554,1
1266,5.377553778,5.537527641,115.091703,85.88594308,14.084275,1
1409,2.781201742,7.002047277,120.538090,81.15976588,11.716698,1
758,2.386985356,4.015625941,108.828359,87.26839062,1.952831,0
1062,3.488973444,5.629841861,105.422529,81.64297858,11.937272,1
537,4.156876294,4.950165181,67.309236,80.9823483,10.045628,1
787,2.784999885,9.593899862,112.854996,70.02199953,1.956509,0
902,5.436147799,7.024751841,122.600404,70.68267455,1.762721,0
879,4.069468025,8.81104224,90.787966,77.88894137,12.071414,1
523,5.020355062,5.812090046,94.902229,80.96196447,1.683165,0
1118,2.828898336,9.016960732,134.159698,81.01731441,2.276528,0
789,5.695134281,7.39662959,81.717822,72.94769342,8.366829,1
721,2.695378317,4.577268944,110.291819,77.74256393,1.864515,0
724,2.056726705,5.000296043,83.773921,81.69177157,14.282224,1
493,2.352637026,4.43939511,66.635440,80.25216288,13.600515,1
909,2.959261907,11.41890055,123.617269,71.51373074,2.075514,0
836,5.258868973,4.225744669,87.027230,72.69458514,12.116152,1
570,2.692027062,8.216080305,73.068196,67.07467266,13.609248,1
1471,2.921665241,6.381885876,124.639507,71.37136778,10.871721,1
729,3.93723201,14.9792274,84.972015,85.46414083,11.307412,1
599,2.003949152,5.552584115,94.559353,68.1226017,2.083134,0
1141,5.407791746,11.24281896,144.136733,74.40004988,2.229979,0
1136,4.754655589,10.94144934,100.824728,70.12053882,15.310833,1
833,4.035735607,8.444530391,85.558745,75.19356469,8.747297,1
677,2.508777116,7.950926505,80.859867,82.73798198,10.018459,1
925,1.98569659,3.340632589,123.766715,78.69165767,2.124016,0
833,4.016626803,7.734459106,85.755459,71.62296504,10.344408,1
930,3.690079666,4.770946321,130.216295,82.33074096,1.979243,0
758,5.899065401,5.440652967,83.403076,79.40629951,14.251607,1
1062,3.690162632,8.882507185,105.149883,69.91345089,15.230040,1
552,3.470547288,6.79852184,69.059189,84.86071982,15.673674,1
2020,2.48341279,11.08509924,209.863656,71.32929922,2.240532,0
1021,3.858195521,5.002131285,97.912897,88.88173947,14.699323,1
423,0.708185901,4.830761539,60.148242,83.2461548,7.890417,1
469,3.731757705,8.768095391,65.134738,67.91280425,11.790478,1
771,3.406179926,5.95003054,82.296120,69.42755097,9.816037,1
1172,4.999245745,8.116638001,103.038221,70.09768939,15.241364,1
779,3.46447946,4.020912853,108.923393,82.32032257,1.955089,0
516,4.37331772,1.427812409,68.548200,72.22145067,9.903089,1
383,3.458565868,8.061969245,58.284039,83.01099114,14.928653,1
512,3.489710092,4.105276645,65.952317,71.9705054,14.458424,1
1087,4.583877097,7.38219431,106.646630,85.1428114,15.209246,1
570,5.054126484,7.137437262,71.521800,67.2849751,10.492647,1
544,3.830605051,5.373992999,72.835001,71.70766158,8.620943,1
830,4.196851494,8.162407278,121.784102,80.22059294,1.881255,0
873,3.46886282,5.357634507,121.279069,82.2001144,1.679012,0
675,3.561178406,5.163843547,101.086002,72.20459429,2.061800,0
734,2.790814499,4.777325422,107.677035,79.54054455,2.151273,0
915,2.786875988,5.121341165,89.686071,74.67680798,14.076847,1
727,2.777169668,6.423462791,81.389646,72.92624898,13.584990,1
892,4.019692936,10.72003637,91.102942,79.62976519,15.758157,1
1071,3.818850889,6.592040533,100.921847,85.66796151,14.109721,1
441,3.845311058,8.321887802,65.977827,71.8014731,14.355955,1
562,3.486698542,10.50189797,90.695201,86.51549366,1.516396,0
650,5.842101745,16.24970946,74.233642,68.44568062,9.681881,1
1156,4.108144835,5.396624116,143.363490,88.24018877,2.310352,0
513,2.55854354,4.15166431,70.846937,68.69676335,12.623761,1
689,3.229242714,7.031272009,101.393986,78.73009536,2.037419,0
343,3.645697848,5.297467351,58.447330,83.55073053,8.164733,1
1379,2.829296791,6.676102852,123.919159,65.61284718,13.515091,1
603,1.270661891,6.759154013,95.895695,70.68431013,1.539309,0
592,2.468749592,5.696184545,69.489251,86.35322142,9.081031,1
894,2.884923452,5.53303057,91.677215,65.76140349,15.648310,1
598,3.260286382,3.264906526,72.730626,79.71972315,11.555993,1
809,3.75567279,6.788085071,82.427268,78.12836353,10.471417,1
968,3.752912256,4.988215259,93.705088,81.42745137,8.533815,1
775,2.594746118,7.77904045,81.724451,69.93860079,11.413186,1
724,2.059781858,5.518458272,81.729569,87.26105151,14.757319,1
729,3.120852568,5.079787241,84.711740,79.72664887,12.035351,1
755,3.411253719,10.09308534,81.163474,82.65698725,12.492941,1
1291,3.879801315,14.46430632,157.093443,70.85604186,2.273467,0
648,3.754370896,5.900179036,99.564500,69.40904722,1.572211,0
503,2.034704612,5.406173752,93.976563,69.21164657,1.698384,0
1409,2.448422767,5.076747645,156.938806,86.8697318,2.372117,0
673,4.540598623,7.941643286,74.651205,78.88452044,14.977744,1
647,2.663503039,2.818298246,79.577010,78.7406319,13.918080,1
908,4.776496492,6.59741007,127.940900,63.55244238,1.790243,0
659,3.58196466,4.822044563,78.945352,73.33540249,9.400964,1
1047,2.527084372,4.302860877,101.815834,77.2874898,13.805714,1
920,4.880477887,6.171200459,90.156526,82.29857121,12.105531,1
691,3.516633646,5.770754107,77.124726,84.10242122,15.030369,1
1478,2.505067796,2.39581248,125.531323,74.58776577,13.498851,1
670,2.691219224,5.780184784,76.056557,73.36942161,15.652829,1
840,4.666518658,7.928491275,91.004459,72.1346416,15.339047,1
764,2.357019897,7.379463997,80.905502,73.77871034,15.446689,1
664,1.92994956,7.032399341,73.864926,80.51628516,10.376481,1
530,2.721544553,6.591911473,92.176711,85.37873618,1.925441,0
458,3.364850162,4.773891212,64.445728,76.45088159,7.758410,1
1406,2.113268634,8.506846553,122.722691,81.72657397,11.216290,1
1272,2.067575575,0.786808407,152.339095,78.03557468,1.998635,0
577,3.669834931,3.357733219,72.807743,84.91484293,15.207733,1
589,4.623011607,1.457721985,75.465004,83.16449125,14.037193,1
778,2.147743725,6.750116533,116.350465,72.17910043,1.878332,0
452,2.459926011,4.012940826,64.389834,88.12250328,10.621737,1
1033,4.015978599,4.044618546,129.850251,69.72617742,2.160759,0
644,2.69613012,5.301801231,72.692419,86.85436064,13.888167,1
685,3.597667244,10.00737911,81.554214,85.50853345,14.015468,1
461,2.592478234,5.310509246,62.311524,73.71450999,11.322874,1
453,2.243080106,5.85216023,65.305609,86.16039817,11.315017,1
814,3.305758926,4.990315631,109.961378,86.17714233,2.186040,0
539,2.072085362,5.273467148,68.728807,77.60735829,14.209239,1
807,3.573537171,5.435716228,88.156146,84.31061731,14.357476,1
792,1.885749282,4.479093828,82.387268,72.07055572,9.653200,1
880,2.292284224,5.984737646,91.606619,73.97092592,9.015374,1
939,2.479915674,6.279585086,127.619586,89.78804956,2.068882,0
1348,2.28424183,6.47128685,161.066605,81.30054697,2.271034,0
1177,3.14225661,4.029034033,104.468685,73.41035115,9.801138,1
1126,3.906482246,4.87363844,143.301872,78.30653346,1.984098,0
882,2.57371904,6.066063039,89.447034,84.38265726,8.979514,1
663,5.478452182,7.052038377,105.959364,75.04337812,2.095173,0
771,3.615147869,8.280813141,110.179599,85.01133591,1.594783,0
1086,1.957800393,10.36117324,136.809240,82.49663647,1.902029,0
854,2.29866197,9.093801912,85.275309,86.14035815,9.485576,1
428,4.817374978,7.381478075,65.161033,68.05127658,15.605534,1
1484,3.274450433,6.096013615,175.893723,82.57189682,2.448418,0
521,3.937582513,6.008643896,66.178882,71.78779363,11.776366,1
1245,3.997609193,5.160321334,145.825872,75.89127807,1.891814,0
721,4.333740562,4.116938813,78.858075,66.83904245,8.275116,1
428,2.630313601,14.17804375,63.420472,76.84327691,8.136041,1
757,4.887911861,4.605421598,111.602940,70.51019095,2.068973,0
532,2.584221496,6.978570048,70.775267,67.73312968,8.936793,1
759,4.458605189,16.74387041,83.247767,72.77172263,11.345628,1
595,2.409280508,7.248602186,74.662913,74.80152847,9.355131,1
860,4.98745696,10.90178627,122.262283,74.72376704,1.736573,0
1168,2.671261342,8.066906803,109.793533,85.47039534,10.064044,1
937,1.985188824,5.482787259,97.431897,75.36743559,13.332007,1
802,2.6413397,5.916244687,108.818845,85.10981235,2.027945,0
723,2.359133956,10.50397534,104.240653,74.4970153,1.935501,0
668,3.613017572,3.627399545,79.825956,81.679781,12.240937,1
743,2.819474484,4.41827842,82.703894,77.02275201,10.745503,1
842,4.385639214,9.070833333,86.340186,84.02292994,8.157622,1
712,3.314215639,5.445329528,109.825139,77.74667212,1.906943,0
672,3.910785642,3.365309743,106.499806,82.05037362,1.683888,0
580,2.230721753,5.731391009,75.514593,74.39580689,15.640628,1
1057,3.042302104,7.142803344,97.110180,86.93980961,15.017080,1
945,2.973972376,13.66311222,92.415844,68.56274274,13.798616,1
619,3.862519084,4.373864709,77.364353,85.29220486,14.929114,1
725,3.088663249,3.711530183,108.608017,79.85462619,1.845735,0
860,2.991972657,10.91516437,115.391375,76.67089992,1.781825,0
665,1.924127521,4.923510326,99.349182,71.23254981,1.770698,0
676,3.008241938,6.29967007,78.766093,77.21158041,10.613626,1
898,2.174168586,4.549271629,124.364980,70.41207192,1.857242,0
797,2.504279702,6.745274716,83.563258,77.67260746,11.326268,1
490,4.219244578,4.487079873,68.958112,78.00867346,9.234266,1
909,3.800915439,4.6315918,120.884334,65.76841268,1.655776,0
621,2.850912851,2.798683001,103.145799,91.72361886,1.729113,0
684,4.013145777,11.78362135,82.379525,68.93774752,9.426910,1
787,4.371238398,6.57242346,85.573179,69.36010413,8.046452,1
603,2.713783982,7.446803583,75.489605,81.43822662,11.386535,1
609,4.596759813,4.561592658,72.659803,77.83952346,8.528944,1
765,5.274040016,6.888305968,80.066773,73.69027242,13.421173,1
787,2.822036099,4.96186087,85.030862,82.96400851,15.689580,1
1560,4.659684301,7.982802536,173.543720,92.37960369,2.116990,0
509,4.874965565,3.476695234,68.858397,72.08644645,14.239472,1
730,2.455748309,5.740273278,111.834993,72.32622764,1.901536,0
641,2.487186393,7.21138802,104.995169,72.832672,1.747973,0
798,5.581680118,9.217782312,83.258597,72.2755143,7.991681,1
499,2.415894198,9.582071205,88.439852,81.91446352,1.879548,0
690,3.399079825,7.637934154,78.288927,84.2055828,11.668297,1
1134,2.789207278,6.125871389,145.017425,77.1642189,2.211569,0
744,4.685843849,6.557033812,80.324310,93.92706106,10.107495,1
448,2.568990889,8.693489055,65.212608,85.29592491,13.317568,1
507,2.87798389,4.428623075,88.694185,81.71202425,2.042064,0
1274,2.6487553,15.86377137,113.259093,67.35542379,11.924016,1
476,2.48398025,3.70259039,63.875159,78.34058554,14.853954,1
691,4.375961989,4.628115632,76.177067,80.28480101,9.400890,1
474,5.258175766,12.29270989,65.443470,82.34877311,9.528470,1
486,4.243316955,4.352166857,65.372897,83.03618341,8.401391,1
489,2.651246858,8.38227254,66.512342,71.69387831,13.509686,1
429,2.304550199,6.122140977,61.298128,72.72606531,11.421250,1
455,5.236365686,8.199034085,63.838004,92.48471227,10.666028,1
1652,3.276245008,8.090186544,140.593812,89.76042579,9.646859,1
374,2.658585958,4.47246431,62.019391,70.27558923,12.006333,1
717,4.934471366,5.910941935,78.305312,74.52300573,10.592838,1
723,2.543279941,7.627576826,105.401523,81.56291989,1.725607,0
758,2.03965649,7.394543911,82.609267,76.01195279,9.369954,1
673,2.088715547,5.220011055,98.788627,74.5977148,2.025105,0
577,2.133198627,3.493785105,73.774293,71.82469621,10.349394,1
766,4.096619919,3.623880459,80.779050,71.60814206,10.823686,1
806,2.314460244,7.07171881,82.973439,77.19573638,14.573146,1
861,4.247405459,4.386303283,123.969102,82.91363435,1.760539,0
423,2.557825141,7.252297798,64.714697,86.26879307,7.978693,1
973,2.157145488,11.99406058,91.120518,78.45431083,15.064078,1
606,3.125228228,3.704493432,76.081196,78.10680476,9.820223,1
717,3.071854649,6.452023868,107.619367,82.97366606,1.734921,0
737,2.000300763,5.817399006,83.121712,82.76655512,8.126753,1
788,3.838054229,4.740401871,115.424863,78.30130434,1.907613,0
403,3.535621721,1.126809953,59.019375,76.86974735,15.568986,1
843,1.922380275,6.40403476,118.658165,74.45544723,1.815319,0
940,3.052892053,4.581922246,126.912227,79.15667598,2.134378,0
858,2.740992298,12.21937836,117.328187,85.45312207,1.786066,0
558,3.021125197,8.004442372,73.107787,76.51565313,9.509895,1
677,4.332277203,5.295160707,108.441837,78.31758013,2.012487,0
975,4.326316321,6.302164372,124.043882,80.26934638,2.157598,0
923,3.302557668,5.47721951,90.161503,85.0135713,9.467301,1
472,1.999791142,13.39081259,66.470137,80.52406893,11.347397,1
631,2.704263912,7.522632014,72.941313,72.14596279,10.940045,1
592,2.859479043,1.45282542,98.162274,81.58815929,1.577663,0
699,2.556968847,4.735093915,78.406571,84.82394461,14.300365,1
697,1.901855721,5.619076845,103.260752,68.15735024,2.084961,0
936,3.364813897,6.182247945,126.016516,82.58005316,2.085838,0
703,4.896007373,4.78800067,109.990252,73.14065413,1.866980,0
774,3.177804325,5.638249333,114.129465,74.55872131,1.711733,0
696,1.821536839,6.976635097,108.822589,83.36132238,1.773666,0
626,3.258302417,12.66721433,95.718207,84.8346817,1.874603,0
466,1.907980151,2.844804953,87.554665,82.49901803,1.698699,0
1274,3.753181293,4.44407536,117.246191,71.54996505,13.214954,1
570,2.437633901,7.519170734,68.506284,66.05515292,15.777140,1
1382,4.711898262,6.113931025,125.029112,77.40142074,8.972595,1
623,0.756263871,7.870837554,74.413581,80.07990204,12.944779,1
1383,2.675943975,3.607179217,158.291476,69.12167743,2.251552,0
801,4.659347484,4.329364364,110.887040,74.03943042,2.144858,0
403,3.694373921,4.243660561,60.284531,76.9705442,8.068298,1
660,2.434678548,3.532638639,107.352288,84.56552221,2.014436,0
1302,1.946854196,4.365183475,157.287338,80.55022642,2.336786,0
1272,4.05564532,8.197579222,149.438367,78.80751975,1.933416,0
877,2.031846174,4.135845445,119.608577,75.97244113,2.088508,0
720,2.702613492,4.806185769,77.941758,77.70166468,10.938287,1
565,3.317115054,6.244296359,71.688042,68.12675716,14.295331,1
865,5.520717721,11.64551705,93.309794,76.41006678,13.018576,1
846,2.552779804,6.812005703,121.067055,74.92290652,1.994614,0
1405,5.336767147,1.358919599,122.229892,82.16029105,13.465439,1
1437,1.86840142,3.849838198,126.911906,79.7580602,14.495492,1
1314,2.821013376,4.854730587,153.893988,78.57338903,2.161064,0
606,2.828192336,11.62981815,100.399939,65.24827987,1.817875,0
1115,4.106250748,4.935860262,102.564771,76.75855764,9.625449,1
756,2.128777507,6.829512488,79.978265,79.49552335,12.737935,1
954,3.41727755,5.329938308,96.124043,81.25049109,15.826522,1
731,3.437051509,4.543386873,106.905731,76.80642708,1.876910,0
642,4.485532059,9.837701654,76.634933,69.87860023,14.073593,1
737,3.443179606,4.417633229,81.976916,74.42600327,15.253953,1
548,4.840758756,6.119180813,70.822644,66.14328055,11.854333,1
833,2.953535029,4.883056287,118.618174,72.08209124,1.864734,0
507,2.586414993,0.449208566,66.855966,76.2575023,11.223584,1
943,3.317254432,6.359054848,96.517888,77.72335236,14.597919,1
611,4.91036686,5.185477514,99.614104,75.62676809,2.095744,0
772,3.530626052,12.20688771,82.708109,72.19936321,10.408790,1
583,5.373756218,3.854536932,72.723026,83.33348904,14.830780,1
521,2.826811289,7.056943341,70.593480,80.33262745,14.308007,1
693,5.05222594,5.793151598,105.104769,81.9935668,2.014394,0
939,2.923258028,1.044157014,125.072377,86.3092384,1.888889,0
780,2.217646135,5.776046221,82.512270,89.33933613,9.953034,1
1236,3.495513006,4.279331627,149.129052,75.83041427,2.124518,0
422,3.882891363,6.378769746,87.699916,73.29618372,1.930708,0
514,3.642813253,6.666078343,92.644608,76.93909251,1.966256,0
685,2.135644461,6.553194682,75.029082,77.51788052,9.945984,1
1020,4.755376067,7.135325665,95.553432,65.66065574,8.186989,1
875,2.285742343,4.259121282,122.314532,81.91534135,1.954973,0
919,3.166933417,5.558107711,120.115961,75.30257483,2.171006,0
1523,2.72398817,6.446409405,132.042190,72.00729408,14.742224,1
1004,3.681373924,8.772198407,98.871330,85.14947832,12.495510,1
838,3.235080399,7.330526202,113.638940,81.16696233,1.949787,0
929,3.31498533,9.014093006,129.309402,84.16654975,1.802649,0
530,3.846563657,8.666147734,93.462736,70.59498064,1.780370,0
698,2.541908973,4.87229227,80.164111,88.59476188,15.378931,1
766,2.543176584,7.796650209,79.833132,78.85301874,7.888341,1
657,2.450562395,5.593865159,79.604148,72.86177145,13.197464,1
1364,3.00181924,5.683045175,164.513165,80.595994,2.346993,0
1167,4.154486159,4.154448185,149.030046,70.39912637,1.828198,0
644,3.163120268,6.625749801,78.416533,77.78344326,15.084771,1
590,5.351240985,4.942745897,98.509583,79.33593061,1.941396,0
647,3.486575655,4.356678738,75.867079,90.32060499,12.214424,1
583,3.330032748,4.753433982,70.991691,69.41107277,13.377793,1
622,3.072420847,5.8384602,97.308447,82.63027526,1.592557,0
572,4.425364303,6.432936316,95.129563,83.12086873,1.538610,0
535,2.914749289,6.178037334,67.095199,77.79083455,13.168510,1
594,2.670296999,9.094531454,72.399790,83.55629602,10.908765,1
613,3.418171489,5.590929703,103.798174,78.10489473,1.815039,0
1015,2.229226498,4.478920147,127.834968,77.26103858,2.102904,0
795,5.62163823,5.188928595,87.624077,79.7525262,11.737201,1
602,2.413892157,6.673008966,71.274956,79.88255028,12.412465,1
789,3.200557932,8.667628114,112.601214,87.84038757,1.912298,0
847,3.305902183,6.25990775,85.282067,82.95054394,12.702498,1
632,1.970788788,7.133181414,73.232515,91.86423233,9.203292,1
382,4.007224214,6.040847619,61.897198,81.06447448,8.205819,1
629,2.861142608,4.84818915,75.254218,69.58054441,14.336129,1
847,3.094886423,10.82401294,85.128492,76.33078479,11.686441,1
999,4.879432402,6.526323946,100.427850,74.03213901,9.760970,1
695,3.781433071,5.557542975,75.535583,79.4191995,13.677064,1
1154,2.250126969,6.919377682,146.893891,81.85195908,2.347089,0
1331,4.214476826,3.231521189,149.256255,74.45206159,2.129148,0
965,2.396047767,8.135028858,126.026041,81.64228563,1.872803,0
434,2.725817829,7.946683657,64.424760,81.04960998,15.020754,1
654,2.869503863,15.34664402,103.564600,78.91487294,1.592683,0
756,1.906751306,3.632707569,105.855619,73.7944075,2.171184,0
916,2.325062913,5.89304435,125.641290,66.50874786,1.711846,0
733,5.111072865,14.78498487,112.030163,78.2596068,1.984361,0
1113,4.277560818,8.370224003,135.537037,91.64387733,2.113377,0
910,2.199858038,4.672934563,95.589387,82.10018444,11.676656,1
1216,2.384993367,5.875387014,141.876525,76.81748876,2.278764,0
532,4.799351102,8.365104215,68.059323,69.57553833,12.373543,1
1050,2.484554722,5.188038367,103.100126,75.44574801,9.667159,1
549,2.80233112,13.4220927,73.689245,71.2343369,13.653305,1
772,3.818990842,7.320255036,81.705992,81.13388458,14.793577,1
686,2.3824034,7.63370835,78.780380,83.70123383,14.845360,1
525,2.172241447,7.166854603,87.418090,90.87070133,1.998586,0
704,2.267872796,10.01271618,83.223913,88.93317269,13.978375,1
1277,2.367709994,2.487784847,151.035456,79.44896221,1.982195,0
778,1.954466665,15.01894448,86.565966,68.18607487,13.262140,1
493,2.90339023,8.434516436,88.179720,81.90205325,1.842048,0
632,5.53591251,2.787521539,72.784313,84.47036407,10.678004,1
1166,2.313936498,6.729036054,148.665122,75.24964265,2.023679,0
1381,4.409951867,6.871637185,120.159677,73.80566753,13.557142,1
902,3.939405861,7.667381428,87.696313,68.94950243,10.178196,1
895,3.70720582,2.027585574,124.215693,87.5210085,1.697824,0
696,3.229960878,13.50813113,81.627765,76.23301589,15.553338,1
529,2.405679803,2.635529094,67.802489,77.66872722,10.750574,1
606,2.12744185,7.11173993,98.985343,90.89271191,1.621862,0
844,2.96634202,7.047283074,117.888465,91.66319467,1.823118,0
652,2.257826144,3.093086838,103.123800,75.56810601,1.901091,0
741,3.455937253,5.949740571,104.255645,74.8911141,1.728566,0
788,2.426992673,7.243247792,81.560455,92.57343691,7.974518,1
534,4.850609699,8.052545628,88.947085,77.47029121,1.823751,0
849,2.263192483,5.773018924,117.698392,72.27689964,1.972181,0
443,4.360361089,8.350902344,62.003980,78.22490988,12.522516,1
776,2.271856877,6.135421624,112.332606,79.09666582,2.055070,0
1096,3.225911439,6.070042512,134.658113,83.3537176,1.904918,0
924,2.419134931,8.256669641,95.817266,83.45355694,11.047991,1
977,3.219496745,4.689880342,99.405667,72.69804484,9.558642,1
498,2.629637422,5.172974099,86.449022,72.63674423,1.918429,0
809,2.166052682,6.728474714,111.848701,79.68206537,2.188895,0
465,3.852066819,5.41945417,66.100614,70.9677994,9.411778,1
797,3.053651885,11.09805268,109.755750,90.90405948,2.047226,0
2011,4.317541015,4.8356017,158.665329,71.09439562,13.903884,1
835,2.499152606,7.107738895,119.309548,80.41383013,1.726891,0
877,4.204168736,5.642329686,90.926042,74.06266026,13.754405,1
611,1.952954708,6.919890527,101.552961,76.20807976,1.594478,0
840,3.952735361,4.358496831,86.550679,73.17126685,10.602150,1
469,4.537585322,10.76572352,64.154840,72.34549952,12.172489,1
783,3.288135466,7.434902939,116.579278,80.6962132,1.902914,0
1093,2.751429234,17.64939075,135.195739,83.23062765,1.825603,0
932,2.730935542,1.90404419,95.438367,71.42261584,14.104199,1
922,2.697810748,5.094065622,118.117421,71.54858757,2.082675,0
601,1.86657573,6.718313739,71.493147,83.06137063,12.690922,1
617,2.486291281,7.080774754,100.582977,81.8880938,1.643506,0
