episodeId,faultType,startTimestamp,endTimestamp,durationSeconds,peakSeverity
EP0035,THERMAL,2026-05-09T23:47:37Z,2026-05-10T00:08:13Z,1237,0.8938
EP0036,BEARING,2026-05-10T10:00:12Z,2026-05-10T10:15:36Z,925,0.8090
EP0037,SEAL_LEAK,2026-05-10T19:49:03Z,2026-05-10T20:10:46Z,1304,0.9637
EP0038,IMPELLER_WEAR,2026-05-10T23:36:33Z,2026-05-11T00:08:26Z,1914,0.8809
EP0039,BEARING,2026-05-11T04:58:53Z,2026-05-11T05:25:54Z,1622,0.9355
EP0040,CAVITATION,2026-05-11T16:08:25Z,2026-05-11T16:33:43Z,1519,0.9485
EP0041,IMPELLER_WEAR,2026-05-11T21:31:26Z,2026-05-11T21:59:41Z,1696,0.9610
EP0042,CAVITATION,2026-05-12T00:45:26Z,2026-05-12T01:08:55Z,1410,0.9960
EP0043,MISALIGNMENT,2026-05-12T02:16:38Z,2026-05-12T02:37:16Z,1239,0.9506
EP0044,DRY_RUN,2026-05-12T15:43:09Z,2026-05-12T15:45:42Z,154,0.8834
EP0045,CAVITATION,2026-05-12T21:38:51Z,2026-05-12T21:52:06Z,796,0.8899
EP0046,MISALIGNMENT,2026-05-13T02:10:24Z,2026-05-13T02:23:10Z,767,0.9449
EP0047,SEAL_LEAK,2026-05-13T06:07:44Z,2026-05-13T06:25:40Z,1077,0.8710
EP0048,SEAL_LEAK,2026-05-13T10:19:46Z,2026-05-13T10:37:36Z,1071,0.8560
EP0049,IMPELLER_WEAR,2026-05-13T13:01:41Z,2026-05-13T13:25:41Z,1441,0.8515
EP0050,BEARING,2026-05-13T19:38:52Z,2026-05-13T20:02:17Z,1406,0.9263
EP0051,BEARING,2026-05-13T21:08:02Z,2026-05-13T21:27:11Z,1150,0.9294
EP0052,CAVITATION,2026-05-14T01:54:29Z,2026-05-14T02:30:47Z,2179,0.8668
EP0053,IMPELLER_WEAR,2026-05-14T08:20:02Z,2026-05-14T08:55:19Z,2118,0.9784
EP0054,BEARING,2026-05-14T13:10:35Z,2026-05-14T13:39:04Z,1710,0.8018
EP0055,CAVITATION,2026-05-14T15:25:44Z,2026-05-14T15:39:46Z,843,0.9349
EP0056,DRY_RUN,2026-05-14T21:23:10Z,2026-05-14T21:27:23Z,254,0.8937
EP0057,DRY_RUN,2026-05-15T11:54:54Z,2026-05-15T12:03:55Z,542,0.8512
EP0058,BEARING,2026-05-17T07:37:20Z,2026-05-17T07:53:10Z,951,0.8401
EP0059,THERMAL,2026-05-18T13:22:53Z,2026-05-18T13:59:09Z,2177,0.8811
EP0060,THERMAL,2026-05-18T20:56:48Z,2026-05-18T21:27:23Z,1836,0.9299
EP0061,DRY_RUN,2026-05-19T00:45:48Z,2026-05-19T00:53:13Z,446,0.9041
EP0062,DRY_RUN,2026-05-19T12:56:09Z,2026-05-19T13:04:48Z,520,0.8593
EP0063,CAVITATION,2026-05-20T03:03:49Z,2026-05-20T03:31:27Z,1659,0.9581
EP0064,MISALIGNMENT,2026-05-20T14:32:44Z,2026-05-20T14:52:14Z,1171,0.9081
EP0065,SEAL_LEAK,2026-05-20T16:23:13Z,2026-05-20T17:00:21Z,2229,0.9379
EP0066,CAVITATION,2026-05-21T17:03:35Z,2026-05-21T17:41:50Z,2296,0.8114
EP0067,THERMAL,2026-05-22T03:26:32Z,2026-05-22T03:57:10Z,1839,0.9121
EP0068,DRY_RUN,2026-05-22T12:06:53Z,2026-05-22T12:12:44Z,352,0.9535
EP0069,DRY_RUN,2026-05-23T07:10:59Z,2026-05-23T07:20:50Z,592,0.8064
EP0070,IMPELLER_WEAR,2026-05-23T08:57:52Z,2026-05-23T09:15:53Z,1082,0.9726
EP0071,IMPELLER_WEAR,2026-05-24T17:47:01Z,2026-05-24T18:25:47Z,2327,0.8284
EP0072,BEARING,2026-05-25T01:16:33Z,2026-05-25T01:43:07Z,1595,0.9858
EP0073,DRY_RUN,2026-05-25T15:16:02Z,2026-05-25T15:19:04Z,183,0.9286
EP0074,THERMAL,2026-05-26T15:47:19Z,2026-05-26T16:17:31Z,1813,0.9655
EP0075,MISALIGNMENT,2026-05-28T14:23:59Z,2026-05-28T15:01:04Z,2226,0.8893
EP0076,MISALIGNMENT,2026-05-28T20:35:19Z,2026-05-28T20:55:22Z,1204,0.9377
EP0077,MISALIGNMENT,2026-05-30T09:56:33Z,2026-05-30T10:16:01Z,1169,0.8572
EP0078,BEARING,2026-05-30T18:19:19Z,2026-05-30T18:48:17Z,1739,0.8529
EP0079,SEAL_LEAK,2026-05-30T20:55:50Z,2026-05-30T21:18:10Z,1341,0.8328
EP0080,THERMAL,2026-06-01T03:29:49Z,2026-06-01T03:47:47Z,1079,0.9135
EP0081,CAVITATION,2026-06-01T06:53:58Z,2026-06-01T07:14:16Z,1219,0.8733
EP0082,THERMAL,2026-06-01T09:54:42Z,2026-06-01T10:05:11Z,630,0.9479
EP0083,BEARING,2026-06-01T18:57:33Z,2026-06-01T19:24:21Z,1609,0.9749
EP0084,DRY_RUN,2026-06-02T13:07:15Z,2026-06-02T13:13:25Z,371,0.9832
EP0085,CAVITATION,2026-06-04T05:48:53Z,2026-06-04T06:15:29Z,1597,0.9797
EP0086,MISALIGNMENT,2026-06-04T18:21:02Z,2026-06-04T18:40:36Z,1175,0.8336
EP0087,MISALIGNMENT,2026-06-05T08:51:24Z,2026-06-05T09:03:29Z,726,0.8942
EP0088,IMPELLER_WEAR,2026-06-05T22:04:05Z,2026-06-05T22:43:01Z,2337,0.8606
EP0089,THERMAL,2026-06-06T03:43:02Z,2026-06-06T03:59:53Z,1012,0.9425
EP0090,IMPELLER_WEAR,2026-06-06T11:38:29Z,2026-06-06T12:03:57Z,1529,0.9503
EP0091,IMPELLER_WEAR,2026-06-07T01:17:14Z,2026-06-07T01:27:35Z,622,0.8669
EP0092,DRY_RUN,2026-06-07T04:21:29Z,2026-06-07T04:30:09Z,521,0.8607
EP0093,BEARING,2026-06-07T13:46:26Z,2026-06-07T14:01:24Z,899,0.8368
EP0094,IMPELLER_WEAR,2026-06-08T03:47:06Z,2026-06-08T04:18:32Z,1887,0.8497
EP0095,IMPELLER_WEAR,2026-06-09T03:38:27Z,2026-06-09T04:17:59Z,2373,0.9730
EP0096,DRY_RUN,2026-06-09T14:40:14Z,2026-06-09T14:49:13Z,540,0.9675
EP0097,THERMAL,2026-06-13T09:53:08Z,2026-06-13T10:07:42Z,875,0.8433
EP0098,SEAL_LEAK,2026-06-13T17:40:12Z,2026-06-13T17:52:08Z,717,0.9351
EP0099,IMPELLER_WEAR,2026-06-13T20:41:51Z,2026-06-13T21:17:38Z,2148,0.8681
EP0100,MISALIGNMENT,2026-06-14T02:04:35Z,2026-06-14T02:26:47Z,1333,0.9356
EP0101,SEAL_LEAK,2026-06-16T00:04:14Z,2026-06-16T00:24:17Z,1204,0.9931
EP0102,MISALIGNMENT,2026-06-16T01:48:12Z,2026-06-16T02:22:23Z,2052,0.9279
EP0103,IMPELLER_WEAR,2026-06-16T05:09:15Z,2026-06-16T05:25:49Z,995,0.9846
EP0104,IMPELLER_WEAR,2026-06-16T08:38:57Z,2026-06-16T08:52:35Z,819,0.9774
EP0105,BEARING,2026-06-16T17:22:31Z,2026-06-16T17:34:57Z,747,0.8341
EP0106,DRY_RUN,2026-06-18T15:25:23Z,2026-06-18T15:28:39Z,197,0.8428
EP0107,BEARING,2026-06-19T16:55:07Z,2026-06-19T17:14:34Z,1168,0.9176
EP0108,IMPELLER_WEAR,2026-06-20T11:59:49Z,2026-06-20T12:16:49Z,1021,0.9108
EP0109,DRY_RUN,2026-06-20T19:11:29Z,2026-06-20T19:18:54Z,446,0.8793
EP0110,IMPELLER_WEAR,2026-06-21T12:50:13Z,2026-06-21T13:19:50Z,1778,0.9098
EP0111,THERMAL,2026-06-22T07:20:33Z,2026-06-22T07:40:33Z,1201,0.9937
EP0112,THERMAL,2026-06-22T11:31:26Z,2026-06-22T11:48:02Z,997,0.8410
EP0113,SEAL_LEAK,2026-06-23T22:17:57Z,2026-06-23T22:48:23Z,1827,0.9690
EP0114,MISALIGNMENT,2026-06-24T10:20:09Z,2026-06-24T10:41:06Z,1258,0.9791
EP0115,DRY_RUN,2026-06-24T12:56:50Z,2026-06-24T13:06:24Z,575,0.9466
EP0116,CAVITATION,2026-06-25T18:00:29Z,2026-06-25T18:10:34Z,606,0.8351
EP0117,SEAL_LEAK,2026-06-28T07:33:57Z,2026-06-28T08:01:33Z,1657,0.8591
EP0118,CAVITATION,2026-06-29T02:33:26Z,2026-06-29T02:54:41Z,1276,0.8335
EP0119,SEAL_LEAK,2026-06-30T06:43:29Z,2026-06-30T06:56:52Z,804,0.8878
EP0120,IMPELLER_WEAR,2026-06-30T15:26:21Z,2026-06-30T15:51:07Z,1487,0.9752
EP0121,DRY_RUN,2026-06-30T18:23:59Z,2026-06-30T18:28:43Z,285,0.8860
EP0122,CAVITATION,2026-06-30T20:03:14Z,2026-06-30T20:27:09Z,1436,0.8323
EP0123,SEAL_LEAK,2026-07-01T11:47:08Z,2026-07-01T12:14:17Z,1630,0.8461
EP0124,SEAL_LEAK,2026-07-02T03:45:00Z,2026-07-02T04:02:35Z,1056,0.8291
EP0125,DRY_RUN,2026-07-02T05:17:25Z,2026-07-02T05:22:55Z,331,0.9470
EP0126,CAVITATION,2026-07-02T12:32:08Z,2026-07-02T13:00:44Z,1717,0.9931
EP0127,IMPELLER_WEAR,2026-07-06T09:49:40Z,2026-07-06T10:16:30Z,1611,0.8094
EP0128,DRY_RUN,2026-07-06T19:48:40Z,2026-07-06T19:52:25Z,226,0.9398
EP0129,DRY_RUN,2026-07-06T22:37:23Z,2026-07-06T22:43:21Z,359,0.8147
EP0130,SEAL_LEAK,2026-07-07T06:18:36Z,2026-07-07T06:34:33Z,958,0.8544
EP0131,BEARING,2026-07-07T08:58:54Z,2026-07-07T09:31:07Z,1934,0.9856
EP0132,MISALIGNMENT,2026-07-07T22:45:27Z,2026-07-07T23:05:55Z,1229,0.8779
EP0133,IMPELLER_WEAR,2026-07-08T07:15:45Z,2026-07-08T07:52:43Z,2219,0.9998
EP0134,SEAL_LEAK,2026-07-08T20:40:04Z,2026-07-08T21:10:05Z,1802,0.9325
EP0135,THERMAL,2026-07-09T14:16:52Z,2026-07-09T14:42:08Z,1517,0.8612
EP0136,MISALIGNMENT,2026-07-09T15:57:26Z,2026-07-09T16:31:09Z,2024,0.8427
EP0137,SEAL_LEAK,2026-07-10T19:24:24Z,2026-07-10T20:01:49Z,2246,0.8950
EP0138,IMPELLER_WEAR,2026-07-11T02:21:58Z,2026-07-11T02:31:59Z,602,0.8940
EP0139,CAVITATION,2026-07-12T03:57:06Z,2026-07-12T04:12:43Z,938,0.9086
EP0140,BEARING,2026-07-12T08:35:43Z,2026-07-12T09:06:59Z,1877,0.9885
EP0141,SEAL_LEAK,2026-07-13T02:35:05Z,2026-07-13T02:59:42Z,1478,0.9523
EP0142,CAVITATION,2026-07-14T01:22:31Z,2026-07-14T01:44:01Z,1291,0.9598
EP0143,IMPELLER_WEAR,2026-07-15T00:53:04Z,2026-07-15T01:04:34Z,691,0.8078
EP0144,THERMAL,2026-07-15T02:24:06Z,2026-07-15T02:59:33Z,2128,0.9600
EP0145,IMPELLER_WEAR,2026-07-15T04:37:01Z,2026-07-15T05:03:43Z,1603,0.9540
EP0146,IMPELLER_WEAR,2026-07-16T22:00:22Z,2026-07-16T22:29:17Z,1736,0.9450
EP0147,DRY_RUN,2026-07-17T11:37:07Z,2026-07-17T11:43:32Z,386,0.9602
EP0148,BEARING,2026-07-17T13:49:28Z,2026-07-17T14:14:21Z,1494,0.9253
EP0149,THERMAL,2026-07-18T21:26:27Z,2026-07-18T22:02:31Z,2165,0.9493
EP0150,IMPELLER_WEAR,2026-07-19T19:39:37Z,2026-07-19T20:07:17Z,1661,0.9640
EP0151,CAVITATION,2026-07-20T11:56:09Z,2026-07-20T12:33:29Z,2241,0.8674
EP0152,MISALIGNMENT,2026-07-21T05:14:26Z,2026-07-21T05:33:20Z,1135,0.8361
EP0153,THERMAL,2026-07-21T18:09:01Z,2026-07-21T18:23:56Z,896,0.9099
EP0154,BEARING,2026-07-22T11:09:00Z,2026-07-22T11:20:47Z,708,0.8979
EP0155,BEARING,2026-07-22T18:43:11Z,2026-07-22T19:13:10Z,1800,0.8191
EP0156,CAVITATION,2026-07-23T11:40:38Z,2026-07-23T12:13:09Z,1952,0.9824
EP0157,CAVITATION,2026-07-24T04:16:11Z,2026-07-24T04:32:56Z,1006,0.9600
EP0158,IMPELLER_WEAR,2026-07-24T12:40:54Z,2026-07-24T13:20:14Z,2361,0.9084
EP0159,IMPELLER_WEAR,2026-07-24T17:44:41Z,2026-07-24T17:58:17Z,817,0.8154
EP0160,SEAL_LEAK,2026-07-24T20:06:52Z,2026-07-24T20:30:31Z,1420,0.8911
EP0161,MISALIGNMENT,2026-07-24T22:23:13Z,2026-07-24T22:35:39Z,747,0.8723
EP0162,SEAL_LEAK,2026-07-25T05:28:44Z,2026-07-25T05:44:59Z,976,0.8698
EP0163,BEARING,2026-07-25T11:39:33Z,2026-07-25T12:11:30Z,1918,0.8244
EP0164,BEARING,2026-07-25T13:41:47Z,2026-07-25T14:01:39Z,1193,0.8033
EP0165,CAVITATION,2026-07-25T23:03:45Z,2026-07-25T23:24:53Z,1269,0.9237
EP0166,BEARING,2026-07-26T02:52:40Z,2026-07-26T03:18:10Z,1531,0.9997
EP0167,MISALIGNMENT,2026-07-26T11:59:06Z,2026-07-26T12:29:00Z,1795,0.9519
EP0168,BEARING,2026-07-26T13:31:25Z,2026-07-26T14:04:40Z,1996,0.8422
EP0169,MISALIGNMENT,2026-07-26T20:34:51Z,2026-07-26T21:02:38Z,1668,0.8910
EP0170,SEAL_LEAK,2026-07-26T23:44:18Z,2026-07-27T00:23:31Z,2354,0.8812
EP0171,SEAL_LEAK,2026-07-27T03:39:44Z,2026-07-27T04:12:46Z,1983,0.8997
EP0172,SEAL_LEAK,2026-07-27T07:04:16Z,2026-07-27T07:21:47Z,1052,0.8945
EP0173,CAVITATION,2026-07-27T10:03:01Z,2026-07-27T10:31:22Z,1702,0.8889
EP0174,SEAL_LEAK,2026-07-28T00:28:07Z,2026-07-28T00:57:45Z,1779,0.8171
EP0175,SEAL_LEAK,2026-07-28T09:12:56Z,2026-07-28T09:50:24Z,2249,0.9778
EP0176,DRY_RUN,2026-07-28T11:35:16Z,2026-07-28T11:39:37Z,262,0.8654
EP0177,THERMAL,2026-07-28T22:06:54Z,2026-07-28T22:44:13Z,2240,0.9304
EP0178,THERMAL,2026-07-29T02:38:20Z,2026-07-29T02:49:06Z,647,0.9822
EP0179,BEARING,2026-07-29T06:33:03Z,2026-07-29T06:55:09Z,1327,0.9218
EP0180,THERMAL,2026-07-29T13:37:21Z,2026-07-29T13:58:04Z,1244,0.8042
